Day,Location,TotalConfirmed,Discharged,Deaths,Active
,,,,,
10-03-2020,Delhi,4,0,0,4
,,,,,
10-03-2020,Haryana,14,0,0,14
,,,,,
10-03-2020,Karnataka,1,0,0,1
,,,,,
10-03-2020,Kerala,9,0,0,9
,,,,,
10-03-2020,Maharashtra,2,0,0,2
,,,,,
10-03-2020,Punjab,1,0,0,1
,,,,,
10-03-2020,Rajasthan,2,0,0,2
,,,,,
10-03-2020,Tamil Nadu,1,0,0,1
,,,,,
10-03-2020,Telengana,1,0,0,1
,,,,,
10-03-2020,Jammu and Kashmir,1,0,0,1
,,,,,
10-03-2020,Ladakh,2,0,0,2
,,,,,
10-03-2020,Uttar Pradesh,9,0,0,9
,,,,,
11-03-2020,Delhi,5,0,0,5
,,,,,
11-03-2020,Haryana,14,0,0,14
,,,,,
11-03-2020,Karnataka,4,0,0,4
,,,,,
11-03-2020,Kerala,17,0,0,17
,,,,,
11-03-2020,Maharashtra,2,0,0,2
,,,,,
11-03-2020,Punjab,1,0,0,1
,,,,,
11-03-2020,Rajasthan,3,0,0,3
,,,,,
11-03-2020,Tamil Nadu,1,0,0,1
,,,,,
11-03-2020,Telengana,1,0,0,1
,,,,,
11-03-2020,Jammu and Kashmir,1,0,0,1
,,,,,
11-03-2020,Ladakh,2,0,0,2
,,,,,
11-03-2020,Uttar Pradesh,9,0,0,9
,,,,,
12-03-2020,Delhi,6,0,0,6
,,,,,
12-03-2020,Haryana,14,0,0,14
,,,,,
12-03-2020,Karnataka,4,0,0,4
,,,,,
12-03-2020,Kerala,17,0,0,17
,,,,,
12-03-2020,Maharashtra,11,0,0,11
,,,,,
12-03-2020,Punjab,1,0,0,1
,,,,,
12-03-2020,Rajasthan,3,0,0,3
,,,,,
12-03-2020,Tamil Nadu,1,0,0,1
,,,,,
12-03-2020,Telengana,1,0,0,1
,,,,,
12-03-2020,Jammu and Kashmir,1,0,0,1
,,,,,
12-03-2020,Ladakh,3,0,0,3
,,,,,
12-03-2020,Uttar Pradesh,11,0,0,11
,,,,,
13-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
13-03-2020,Delhi,7,1,1,5
,,,,,
13-03-2020,Haryana,14,0,0,14
,,,,,
13-03-2020,Karnataka,6,0,1,5
,,,,,
13-03-2020,Kerala,19,3,0,16
,,,,,
13-03-2020,Maharashtra,14,0,0,14
,,,,,
13-03-2020,Punjab,1,0,0,1
,,,,,
13-03-2020,Rajasthan,3,1,0,2
,,,,,
13-03-2020,Tamil Nadu,1,0,0,1
,,,,,
13-03-2020,Telengana,1,0,0,1
,,,,,
13-03-2020,Jammu and Kashmir,1,0,0,1
,,,,,
13-03-2020,Ladakh,3,0,0,3
,,,,,
13-03-2020,Uttar Pradesh,11,5,0,6
,,,,,
14-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
14-03-2020,Delhi,7,1,1,5
,,,,,
14-03-2020,Haryana,14,0,0,14
,,,,,
14-03-2020,Karnataka,6,0,1,5
,,,,,
14-03-2020,Kerala,19,3,0,16
,,,,,
14-03-2020,Maharashtra,14,0,0,14
,,,,,
14-03-2020,Punjab,1,0,0,1
,,,,,
14-03-2020,Rajasthan,3,1,0,2
,,,,,
14-03-2020,Tamil Nadu,1,0,0,1
,,,,,
14-03-2020,Telengana,1,0,0,1
,,,,,
14-03-2020,Jammu and Kashmir,2,0,0,2
,,,,,
14-03-2020,Ladakh,3,0,0,3
,,,,,
14-03-2020,Uttar Pradesh,12,5,0,7
,,,,,
15-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
15-03-2020,Delhi,7,2,1,4
,,,,,
15-03-2020,Haryana,14,0,0,14
,,,,,
15-03-2020,Karnataka,6,0,1,5
,,,,,
15-03-2020,Kerala,22,3,0,19
,,,,,
15-03-2020,Maharashtra,32,0,0,32
,,,,,
15-03-2020,Punjab,1,0,0,1
,,,,,
15-03-2020,Rajasthan,4,3,0,1
,,,,,
15-03-2020,Tamil Nadu,1,0,0,1
,,,,,
15-03-2020,Telengana,3,1,0,2
,,,,,
15-03-2020,Jammu and Kashmir,2,0,0,2
,,,,,
15-03-2020,Ladakh,3,0,0,3
,,,,,
15-03-2020,Uttar Pradesh,13,4,0,9
,,,,,
15-03-2020,Uttarakhand,1,0,0,1
,,,,,
16-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
16-03-2020,Delhi,7,2,1,4
,,,,,
16-03-2020,Haryana,14,0,0,14
,,,,,
16-03-2020,Karnataka,6,0,1,5
,,,,,
16-03-2020,Kerala,23,3,0,20
,,,,,
16-03-2020,Maharashtra,32,0,0,32
,,,,,
16-03-2020,Odisha,1,0,0,1
,,,,,
16-03-2020,Punjab,1,0,0,1
,,,,,
16-03-2020,Rajasthan,4,3,0,1
,,,,,
16-03-2020,Tamil Nadu,1,0,0,1
,,,,,
16-03-2020,Telengana,3,1,0,2
,,,,,
16-03-2020,Jammu and Kashmir,3,0,0,3
,,,,,
16-03-2020,Ladakh,4,0,0,4
,,,,,
16-03-2020,Uttar Pradesh,13,4,0,9
,,,,,
16-03-2020,Uttarakhand,1,0,0,1
,,,,,
17-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
17-03-2020,Delhi,8,2,1,5
,,,,,
17-03-2020,Haryana,15,0,0,15
,,,,,
17-03-2020,Karnataka,11,0,1,10
,,,,,
17-03-2020,Kerala,26,3,0,23
,,,,,
17-03-2020,Maharashtra,39,0,1,38
,,,,,
17-03-2020,Odisha,1,0,0,1
,,,,,
17-03-2020,Punjab,1,0,0,1
,,,,,
17-03-2020,Rajasthan,4,3,0,1
,,,,,
17-03-2020,Tamil Nadu,1,0,0,1
,,,,,
17-03-2020,Telengana,5,1,0,4
,,,,,
17-03-2020,Jammu and Kashmir,3,0,0,3
,,,,,
17-03-2020,Ladakh,6,0,0,6
,,,,,
17-03-2020,Uttar Pradesh,15,5,0,10
,,,,,
17-03-2020,Uttarakhand,1,0,0,1
,,,,,
18-03-2020,Andhra Pradesh,1,0,0,1
,,,,,
18-03-2020,Delhi,10,2,1,7
,,,,,
18-03-2020,Haryana,17,0,0,17
,,,,,
18-03-2020,Karnataka,11,0,1,10
,,,,,
18-03-2020,Kerala,27,3,0,24
,,,,,
18-03-2020,Maharashtra,42,0,1,41
,,,,,
18-03-2020,Odisha,1,0,0,1
,,,,,
18-03-2020,Puducherry,1,0,0,1
,,,,,
18-03-2020,Punjab,1,0,0,1
,,,,,
18-03-2020,Rajasthan,4,3,0,1
,,,,,
18-03-2020,Tamil Nadu,1,0,0,1
,,,,,
18-03-2020,Telengana,6,1,0,5
,,,,,
18-03-2020,Jammu and Kashmir,3,0,0,3
,,,,,
18-03-2020,Ladakh,8,0,0,8
,,,,,
18-03-2020,Uttar Pradesh,16,5,0,11
,,,,,
18-03-2020,Uttarakhand,1,0,0,1
,,,,,
18-03-2020,West Bengal,1,0,0,1
,,,,,
19-03-2020,Andhra Pradesh,2,0,0,2
,,,,,
19-03-2020,Chhattisgarh,1,0,0,1
,,,,,
19-03-2020,Delhi,12,3,1,8
,,,,,
19-03-2020,Haryana,17,0,0,17
,,,,,
19-03-2020,Karnataka,14,0,1,13
,,,,,
19-03-2020,Kerala,27,3,0,24
,,,,,
19-03-2020,Maharashtra,47,0,1,46
,,,,,
19-03-2020,Odisha,1,0,0,1
,,,,,
19-03-2020,Puducherry,1,0,0,1
,,,,,
19-03-2020,Punjab,2,0,1,1
,,,,,
19-03-2020,Rajasthan,7,3,0,4
,,,,,
19-03-2020,Tamil Nadu,2,1,0,1
,,,,,
19-03-2020,Telengana,6,1,0,5
,,,,,
19-03-2020,Chandigarh,1,0,0,1
,,,,,
19-03-2020,Jammu and Kashmir,4,0,0,4
,,,,,
19-03-2020,Ladakh,8,0,0,8
,,,,,
